dateTime,activities-minutesSedentary,RestHeart,activities-minutesVeryActive,activities-floors,activities-steps,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-startTime
2017-01-26,657,56,12,16,8809,431,5,11,23:45
2017-01-27,744,56,34,14,10592,479,9,10,22:14
2017-01-28,739,56,0,6,6556,450,0,0,23:30
2017-01-29,607,57,21,8,9005,436,23,45,00:08
2017-01-30,863,57,31,12,9924,296,2,1,01:24
2017-01-31,654,57,0,3,9381,420,0,0,00:00
2017-02-01,1167,57,0,5,8009,0,0,0,
2017-02-02,800,56,4,7,6192,345,11,28,23:54
2017-02-03,761,55,0,3,3896,475,15,27,22:43
2017-02-04,689,55,18,22,11251,410,0,0,00:19
2017-02-05,611,54,21,26,9996,455,12,12,23:28
2017-02-06,726,55,22,10,9482,424,8,11,23:02
2017-02-07,682,55,0,4,6821,432,14,23,22:52
2017-02-08,713,54,13,8,8590,441,20,44,23:08
2017-02-09,702,55,27,20,12086,438,6,5,23:41
2017-02-10,694,55,0,3,7740,430,0,0,23:50
2017-02-11,669,56,0,7,8277,401,13,15,00:16
2017-02-12,1072,56,13,4,9780,0,0,0,
2017-02-13,698,56,27,14,10061,491,4,7,23:04
2017-02-14,580,56,4,7,10504,466,8,13,23:34
2017-02-15,607,57,24,4,13281,480,9,15,23:16
2017-02-16,788,58,15,14,9106,378,10,14,00:34
2017-02-17,745,59,35,9,9114,383,0,0,00:10
2017-02-18,708,61,1,2,4028,503,13,17,22:30
2017-02-19,798,61,0,6,3253,568,0,0,22:10
2017-02-20,815,58,0,12,3639,422,18,26,23:51
2017-02-21,475,59,22,8,20469,427,7,21,23:48
2017-02-22,1098,59,9,13,9847,0,0,0,
2017-02-23,731,58,17,82,11219,445,11,21,23:41
2017-02-24,1220,58,5,12,7613,0,0,0,
2017-02-25,601,57,2,8,7371,463,9,22,00:30
2017-02-26,687,58,46,4,14205,472,1,0,23:00
2017-02-27,672,59,25,8,11320,428,5,13,01:33
2017-02-28,1149,60,5,5,6241,0,0,0,
2017-03-01,1174,60,0,19,7196,0,0,0,
2017-03-02,692,59,0,45,8459,375,14,26,00:23
