Days,Years,Months,date,activities-minutesSedentary,activities-minutesVeryActive,activities-floors,sleep-minutesAsleep,activities-steps,sleep-awakeningsCount,RestHeart
Wednesday,2017,March,2017-03-01,1174,0,19,0,7196,0,60
Thursday,2017,March,2017-03-02,692,0,45,375,8459,14,59
Friday,2017,March,2017-03-03,690,0,13,441,6641,20,59
Saturday,2017,March,2017-03-04,574,73,10,490,14045,22,56
Sunday,2017,March,2017-03-05,654,76,23,402,15117,10,57
Monday,2017,March,2017-03-06,727,0,10,395,7904,13,57
Tuesday,2017,March,2017-03-07,644,2,3,405,8706,0,57
Wednesday,2017,March,2017-03-08,666,18,19,487,11844,7,59
Thursday,2017,March,2017-03-09,1177,47,20,0,12751,0,58
Friday,2017,March,2017-03-10,1238,0,1,0,5012,0,58
Saturday,2017,March,2017-03-11,1134,48,8,0,13271,0,59
Sunday,2017,March,2017-03-12,956,29,8,0,14553,0,59
Monday,2017,March,2017-03-13,698,5,10,496,6266,11,58
Tuesday,2017,March,2017-03-14,576,4,6,444,12799,19,59
Wednesday,2017,March,2017-03-15,577,88,8,404,13705,8,58
Thursday,2017,March,2017-03-16,1108,13,19,0,8592,0,58
Friday,2017,March,2017-03-17,717,14,9,465,8623,12,59
Saturday,2017,March,2017-03-18,1102,1,14,0,7799,0,59
Sunday,2017,March,2017-03-19,1322,0,20,0,3170,0,59
Monday,2017,March,2017-03-20,726,7,23,419,9234,6,59
Tuesday,2017,March,2017-03-21,965,58,32,0,15173,0,59
Wednesday,2017,March,2017-03-22,724,29,10,462,10747,10,60
Thursday,2017,March,2017-03-23,1047,40,21,0,12282,0,60
Friday,2017,March,2017-03-24,778,15,16,486,8486,14,59
Saturday,2017,March,2017-03-25,1003,3,11,0,8598,0,59
Sunday,2017,March,2017-03-26,650,25,5,595,7187,10,57
Monday,2017,March,2017-03-27,1179,15,11,0,9981,0,58
Tuesday,2017,March,2017-03-28,1009,68,31,0,15050,0,58
Wednesday,2017,March,2017-03-29,693,52,27,410,13058,16,59
Thursday,2017,March,2017-03-30,680,0,15,411,9050,21,58
Friday,2017,March,2017-03-31,657,47,4,435,15790,12,57
Saturday,2017,April,2017-04-01,1103,16,13,0,10984,0,57
Sunday,2017,April,2017-04-02,616,22,3,469,8858,9,57
Monday,2017,April,2017-04-03,714,11,11,438,9197,11,57
Tuesday,2017,April,2017-04-04,995,68,17,0,13435,0,57
Wednesday,2017,April,2017-04-05,683,23,22,425,13483,22,58
Thursday,2017,April,2017-04-06,1215,4,10,0,9065,0,57
Friday,2017,April,2017-04-07,1203,0,8,0,7235,0,57
Saturday,2017,April,2017-04-08,611,19,4,370,10788,22,57
Sunday,2017,April,2017-04-09,1188,0,5,0,5210,0,57
Monday,2017,April,2017-04-10,755,0,11,410,8121,8,58
Tuesday,2017,April,2017-04-11,1054,6,11,0,11376,0,58
Wednesday,2017,April,2017-04-12,721,20,11,399,10400,11,57
Thursday,2017,April,2017-04-13,1145,17,9,0,8102,0,57
Friday,2017,April,2017-04-14,686,4,4,453,7097,17,57
Saturday,2017,April,2017-04-15,1171,0,1,0,7397,0,57
Sunday,2017,April,2017-04-16,1181,25,2,71,6058,2,57
Monday,2017,April,2017-04-17,742,0,27,437,5131,14,56
Tuesday,2017,April,2017-04-18,649,6,28,442,8399,14,55
Wednesday,2017,April,2017-04-19,680,21,15,408,12369,9,55
Thursday,2017,April,2017-04-20,754,37,16,416,11691,18,55
Friday,2017,April,2017-04-21,1264,0,10,0,4124,0,55
Saturday,2017,April,2017-04-22,1080,7,6,0,11114,0,56
Sunday,2017,April,2017-04-23,1174,0,5,0,5913,0,57
Monday,2017,April,2017-04-24,674,0,7,493,6627,18,57
Tuesday,2017,April,2017-04-25,1088,39,11,0,10887,0,58
Wednesday,2017,April,2017-04-26,587,9,13,412,9810,15,59
Thursday,2017,April,2017-04-27,647,0,6,431,11083,13,58
Friday,2017,April,2017-04-28,594,0,9,482,10212,16,58
Saturday,2017,April,2017-04-29,557,8,0,431,13414,0,58
Sunday,2017,April,2017-04-30,1420,0,2,0,474,0,58
Monday,2017,May,2017-05-01,1136,38,19,0,12507,0,59
Tuesday,2017,May,2017-05-02,631,76,11,444,11062,0,58
Wednesday,2017,May,2017-05-03,658,2,8,438,8528,0,59
Thursday,2017,May,2017-05-04,913,0,2,393,645,0,61
Friday,2017,May,2017-05-05,503,15,5,446,8845,0,63
Saturday,2017,May,2017-05-06,805,23,2,385,7931,0,61
Sunday,2017,May,2017-05-07,751,15,27,206,18134,0,60
Monday,2017,May,2017-05-08,881,0,5,312,6686,0,62
Tuesday,2017,May,2017-05-09,802,0,3,365,5723,0,63
Wednesday,2017,May,2017-05-10,747,53,52,356,12341,0,65
Thursday,2017,May,2017-05-11,846,0,3,288,4862,0,66
Friday,2017,May,2017-05-12,805,0,5,373,5157,0,67
Saturday,2017,May,2017-05-13,1098,0,2,190,4486,0,69
Sunday,2017,May,2017-05-14,1028,14,8,0,14714,0,69
Monday,2017,May,2017-05-15,583,27,16,448,12538,0,66
Tuesday,2017,May,2017-05-16,618,11,5,399,11473,0,64
Wednesday,2017,May,2017-05-17,1144,1,2,0,7505,0,64
Thursday,2017,May,2017-05-18,687,14,36,379,13727,0,63
Friday,2017,May,2017-05-19,773,7,11,390,6677,0,60
Saturday,2017,May,2017-05-20,1256,0,5,0,5065,0,60
Sunday,2017,May,2017-05-21,693,33,5,398,10970,0,58
Monday,2017,May,2017-05-22,669,42,12,389,11725,0,57
