Days,date,activities-minutesVeryActive,activities-floors,sleep-minutesAsleep,sleep-timeInBed,activities-steps,sleep-awakeningsCount
Wednesday,2018-01-31,0,4,401,460,4047,0
Thursday,2018-02-01,0,5,0,0,3958,0
Friday,2018-02-02,0,4,426,483,4768,0
Saturday,2018-02-03,9,5,396,439,9685,0
Sunday,2018-02-04,0,3,526,603,4873,0
Monday,2018-02-05,41,9,399,449,10265,0
Tuesday,2018-02-06,0,1,459,484,6076,12
Wednesday,2018-02-07,29,7,356,391,10822,0
Thursday,2018-02-08,12,17,394,443,10350,0
Friday,2018-02-09,0,7,0,0,4373,0
Saturday,2018-02-10,0,1,437,456,8080,9
Sunday,2018-02-11,6,12,415,445,8579,15
Monday,2018-02-12,20,9,419,438,7820,7
Tuesday,2018-02-13,21,3,361,399,9676,0
Wednesday,2018-02-14,7,5,449,523,10701,0
Thursday,2018-02-15,19,11,0,0,9814,0
Friday,2018-02-16,17,15,498,534,8835,15
Saturday,2018-02-17,4,7,363,396,11821,12
Sunday,2018-02-18,0,5,559,593,7124,20
Monday,2018-02-19,62,10,357,414,13284,0
Tuesday,2018-02-20,56,4,340,393,13155,0
Wednesday,2018-02-21,31,15,379,427,13101,0
Thursday,2018-02-22,43,9,0,0,9747,0
Friday,2018-02-23,7,3,384,429,12151,0
Saturday,2018-02-24,36,7,444,528,11040,0
Sunday,2018-02-25,23,15,430,488,12883,0
Monday,2018-02-26,10,8,406,427,7690,10
Tuesday,2018-02-27,8,4,456,488,8161,17
Wednesday,2018-02-28,27,13,0,0,6961,0
Thursday,2018-03-01,29,11,409,475,9111,0
Friday,2018-03-02,25,24,406,503,8392,0
Saturday,2018-03-03,2,1,446,527,10441,0
Sunday,2018-03-04,2,7,393,455,9491,0
Monday,2018-03-05,27,8,392,412,11046,10
Tuesday,2018-03-06,0,4,405,416,7009,5
Wednesday,2018-03-07,30,9,268,280,9583,6
Thursday,2018-03-08,0,6,443,501,3688,0
Friday,2018-03-09,52,15,371,442,12847,0
Saturday,2018-03-10,0,16,0,0,10812,0
Sunday,2018-03-11,0,11,426,481,8042,0
Monday,2018-03-12,7,1,404,436,7375,13
Tuesday,2018-03-13,0,14,412,431,6297,12
Wednesday,2018-03-14,32,10,419,446,11981,13
Thursday,2018-03-15,12,12,381,450,9180,0
Friday,2018-03-16,0,9,388,449,3958,0
Saturday,2018-03-17,54,16,399,473,10211,0
Sunday,2018-03-18,0,12,0,0,7289,0
Monday,2018-03-19,53,15,351,399,14837,0
Tuesday,2018-03-20,0,6,359,373,6161,4
Wednesday,2018-03-21,52,8,389,405,13456,7
Thursday,2018-03-22,6,13,329,376,7041,0
Friday,2018-03-23,59,20,345,393,9928,0
Saturday,2018-03-24,0,3,341,380,8146,0
Sunday,2018-03-25,0,2,457,582,2464,0
Monday,2018-03-26,30,9,327,374,9467,0
Tuesday,2018-03-27,2,7,405,443,8742,0
Wednesday,2018-03-28,51,20,469,536,16507,0
Thursday,2018-03-29,34,27,393,444,14651,0
Friday,2018-03-30,21,9,394,459,11017,0
Saturday,2018-03-31,0,2,0,0,8035,0
Sunday,2018-04-01,0,4,458,494,8234,17
Monday,2018-04-02,5,2,498,524,3503,12
Tuesday,2018-04-03,46,1,361,386,10709,12
Wednesday,2018-04-04,47,7,452,472,11696,12
Thursday,2018-04-05,22,9,358,372,8112,8
Friday,2018-04-06,0,1,390,451,4087,0
Saturday,2018-04-07,5,5,449,521,7402,0
Sunday,2018-04-08,24,6,422,493,12640,0
Monday,2018-04-09,19,13,355,408,8440,0
Tuesday,2018-04-10,4,3,399,461,7867,0
Wednesday,2018-04-11,15,1,0,0,8317,0
Thursday,2018-04-12,31,9,409,482,8745,0
Friday,2018-04-13,36,9,380,436,12534,0
Saturday,2018-04-14,0,6,382,404,8353,12
Sunday,2018-04-15,49,11,471,505,11816,20
Monday,2018-04-16,41,18,333,380,13544,0
Tuesday,2018-04-17,8,4,429,479,6599,0
Wednesday,2018-04-18,27,14,380,448,10498,0
Thursday,2018-04-19,60,10,371,413,14895,0
Friday,2018-04-20,14,10,387,435,8790,0
Saturday,2018-04-21,1,3,488,561,10206,0
Sunday,2018-04-22,9,4,414,499,8141,0
Monday,2018-04-23,0,10,375,434,6014,0
Tuesday,2018-04-24,0,5,436,496,6723,0
Wednesday,2018-04-25,18,8,347,399,9038,0
Thursday,2018-04-26,51,23,0,0,13116,0
Friday,2018-04-27,3,3,368,438,7579,0
Saturday,2018-04-28,6,8,581,598,8309,11
Sunday,2018-04-29,10,18,446,498,7700,0
Monday,2018-04-30,0,1,430,502,4600,0
Tuesday,2018-05-01,23,44,437,526,10457,0
Wednesday,2018-05-02,0,0,475,546,5510,0
Thursday,2018-05-03,7,5,419,504,7850,0
Friday,2018-05-04,9,10,523,589,9954,0
Saturday,2018-05-05,3,3,127,129,9601,2
Sunday,2018-05-06,0,5,0,0,4996,0
Monday,2018-05-07,7,22,0,0,10467,0
Tuesday,2018-05-08,5,50,0,0,15455,0
Wednesday,2018-05-09,26,21,0,0,12836,0
Thursday,2018-05-10,0,0,0,0,18,0
Friday,2018-05-11,0,0,0,0,0,0
Saturday,2018-05-12,0,0,0,0,0,0
Sunday,2018-05-13,0,0,0,0,0,0
Monday,2018-05-14,0,0,0,0,249,0
Tuesday,2018-05-15,2,6,320,336,8609,13
Wednesday,2018-05-16,5,10,491,514,9005,14
Thursday,2018-05-17,0,6,373,433,7952,0
Friday,2018-05-18,6,9,445,469,5943,11
Saturday,2018-05-19,27,11,404,485,11935,0
Sunday,2018-05-20,10,1,284,336,13006,0
Monday,2018-05-21,8,2,412,474,10617,0
Tuesday,2018-05-22,0,2,71,72,1138,1
Wednesday,2018-05-23,16,15,470,490,11096,10
Thursday,2018-05-24,0,11,0,0,6091,0
Friday,2018-05-25,40,5,439,492,11622,0
Saturday,2018-05-26,0,6,0,0,7173,0
Sunday,2018-05-27,10,6,0,0,8627,0
Monday,2018-05-28,6,21,0,0,11119,0
Tuesday,2018-05-29,11,12,0,0,10538,0
Wednesday,2018-05-30,20,13,0,0,13654,0
Thursday,2018-05-31,12,8,238,268,6939,15
Friday,2018-06-01,3,2,0,0,5276,0
Saturday,2018-06-02,0,5,0,0,6341,0
Sunday,2018-06-03,10,9,422,483,7682,0
Monday,2018-06-04,15,8,0,0,7042,0
Tuesday,2018-06-05,3,4,390,454,11339,0
Wednesday,2018-06-06,7,9,0,0,11031,0
Thursday,2018-06-07,0,9,0,0,6928,0
Friday,2018-06-08,0,3,0,0,7061,0
Saturday,2018-06-09,0,2,0,0,8080,0
Sunday,2018-06-10,30,4,0,0,12151,0
Monday,2018-06-11,0,4,0,0,7962,0
Tuesday,2018-06-12,0,3,0,0,6258,0
Wednesday,2018-06-13,0,1,0,0,1163,0
Thursday,2018-06-14,25,3,0,0,8878,0
Friday,2018-06-15,1,2,0,0,6387,0
Saturday,2018-06-16,22,4,0,0,6011,0
Sunday,2018-06-17,0,4,401,464,4695,0
Monday,2018-06-18,23,0,0,0,6956,0
Tuesday,2018-06-19,6,6,0,0,9480,0
Wednesday,2018-06-20,0,12,0,0,10142,0
Thursday,2018-06-21,0,8,0,0,13213,0
Friday,2018-06-22,0,3,0,0,6370,0
Saturday,2018-06-23,0,2,0,0,0,0
Sunday,2018-06-24,0,0,0,0,0,0
Monday,2018-06-25,0,4,0,0,9303,0
Tuesday,2018-06-26,0,5,0,0,11781,0
Wednesday,2018-06-27,30,11,0,0,10747,0
Thursday,2018-06-28,0,4,0,0,4029,0
Friday,2018-06-29,0,2,0,0,5614,0
Saturday,2018-06-30,4,4,457,511,11640,0
Sunday,2018-07-01,1,10,0,0,9163,0
Monday,2018-07-02,12,7,0,0,9203,0
Tuesday,2018-07-03,0,1,0,0,1795,0
Wednesday,2018-07-04,1,11,0,0,6451,0
Thursday,2018-07-05,0,0,0,0,0,0
Friday,2018-07-06,7,2,0,0,4987,0
Saturday,2018-07-07,20,3,0,0,8838,0
Sunday,2018-07-08,14,3,0,0,8736,0
Monday,2018-07-09,15,3,0,0,9096,0
Tuesday,2018-07-10,5,6,0,0,10903,0
Wednesday,2018-07-11,16,11,0,0,9243,0
Thursday,2018-07-12,28,4,0,0,9544,0
Friday,2018-07-13,5,6,327,367,8250,0
Saturday,2018-07-14,0,2,436,478,6064,21
Sunday,2018-07-15,1,5,554,566,8979,8
Monday,2018-07-16,64,18,397,447,16366,0
Tuesday,2018-07-17,21,13,320,360,10118,0
Wednesday,2018-07-18,50,8,382,439,10559,0
Thursday,2018-07-19,47,14,409,424,13216,8
Friday,2018-07-20,2,13,0,0,6335,0
Saturday,2018-07-21,26,5,0,0,16258,0
Sunday,2018-07-22,5,0,348,414,7713,0
Monday,2018-07-23,7,0,403,461,7977,0
Tuesday,2018-07-24,0,0,369,422,8663,0
Wednesday,2018-07-25,0,0,0,0,7899,0
Thursday,2018-07-26,1,0,0,0,6651,0
Friday,2018-07-27,0,0,0,0,0,0
Saturday,2018-07-28,0,0,0,0,0,0
Sunday,2018-07-29,0,0,0,0,0,0
Monday,2018-07-30,9,9,0,0,11805,0
Tuesday,2018-07-31,23,15,485,571,15847,0
Wednesday,2018-08-01,36,11,460,536,9743,0
Thursday,2018-08-02,18,10,463,514,8090,0
Friday,2018-08-03,29,5,505,519,13026,11
Saturday,2018-08-04,18,12,426,505,12694,0
